text,label
"Win money now!!!",spam
"Congratulations, you won a lottery",spam
"Click this link to claim prize",spam
"Urgent! Your bank account is blocked",spam
"Free recharge available",spam
"Earn 5000 per day from home",spam
"Limited time offer click now",spam
"Your OTP is 1234 do not share",spam
"Update your password immediately",spam
"Get free gift card now",spam
"Hey are you coming to class?",ham
"Let's meet tomorrow",ham
"Call me when you're free",ham
"Can you send notes?",ham
"See you in college",ham
"Are you available for meeting?",ham
"Happy birthday!",ham
"Let's study together",ham
"Where are you?",ham
"Don't forget assignment",ham
